"nation","year_to_survive_to","deferral_reduction","idu_type","deferral_effect_year","calibration_prevalence_1991","donor_non_clearance","contamination_constant","contamination_constant_prop","units_per_donation_scenario","trans_survival_years","hepc_survival_hazard","survivor_non_clearance","trans_survival_hazard_scenario","total_infected","total_chronic_infected","total_chronic_survived_transfusion","chronic_infected_survived_long_hepc_trans","died_trans_hcv","excess_deaths_hcv"
"England",2019,0.33,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",15656,12838,4745,1981,10856,0
"England",2019,0.33,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",17137,14053,5194,2138,11915,0
"England",2019,0.33,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",20101,16483,6092,2451,14031,0
"England",2019,0.2,"past",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",12496,10247,3787,1624,8623,0
"England",2019,0.2,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",14397,11806,4363,1831,9975,0
"England",2019,0.2,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",16298,13365,4940,2038,11327,0
"England",2019,0.2,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",20101,16483,6092,2451,14031,0
"England",2019,0.2,"past",1987,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",12695,10410,3847,1651,8759,0
"England",2019,0.2,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",14546,11928,4409,1851,10077,0
"England",2019,0.2,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",16398,13446,4970,2051,11395,0
"England",2019,0.2,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",20101,16483,6092,2451,14031,0
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"basic",752,617,228,78,539,52
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"basic",730,599,221,76,523,50
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"basic",708,581,215,73,507,49
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"basic",664,544,201,69,476,46
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"basic",805,660,244,84,576,55
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"basic",769,631,233,80,551,53
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"basic",734,602,223,76,526,51
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"basic",664,544,201,69,476,46
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"basic",485,398,147,53,345,33
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"basic",530,434,161,57,378,36
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"basic",574,471,174,61,410,39
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"basic",664,544,201,69,476,46
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"basic",498,408,151,54,354,33
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"basic",539,442,163,58,384,37
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"basic",581,476,176,61,415,40
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"basic",664,544,201,69,476,46
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"age",752,617,228,74,543,53
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"age",730,599,221,72,527,52
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"age",708,581,215,69,511,50
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"age",664,544,201,65,479,47
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"age",805,660,244,79,580,57
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"age",769,631,233,76,555,55
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"age",734,602,223,72,530,52
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"age",664,544,201,65,479,47
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"age",485,398,147,50,348,34
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"age",530,434,161,54,381,37
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"age",574,471,174,57,414,40
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"age",664,544,201,65,479,47
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"age",498,408,151,51,357,35
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"age",539,442,163,55,388,38
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"age",581,476,176,58,418,41
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"age",664,544,201,65,479,47
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"none",752,617,228,80,537,51
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"none",730,599,221,78,521,50
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"none",708,581,215,75,505,48
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"none",664,544,201,70,474,45
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"none",805,660,244,86,574,55
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"none",769,631,233,82,549,52
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"none",734,602,223,78,524,50
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"none",664,544,201,70,474,45
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"none",485,398,147,54,344,32
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"none",530,434,161,58,376,35
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"none",574,471,174,62,409,39
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"none",664,544,201,70,474,45
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"none",498,408,151,56,353,33
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"none",539,442,163,59,383,36
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"none",581,476,176,63,413,39
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"none",664,544,201,70,474,45
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1,0.82,"basic",752,617,228,88,528,0
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",730,599,221,86,513,0
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",708,581,215,83,498,0
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",664,544,201,78,467,0
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"basic",805,660,244,95,565,0
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",769,631,233,91,540,0
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",734,602,223,86,516,0
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",664,544,201,78,467,0
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1,0.82,"basic",485,398,147,59,338,0
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",530,434,161,64,370,0
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",574,471,174,69,403,0
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",664,544,201,78,467,0
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"basic",498,408,151,61,347,0
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",539,442,163,65,377,0
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",581,476,176,69,407,0
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",664,544,201,78,467,0
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",752,617,228,85,532,0
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",730,599,221,82,516,0
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",708,581,215,80,501,0
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",664,544,201,75,470,0
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",805,660,244,91,568,0
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",769,631,233,87,544,0
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",734,602,223,83,519,0
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",664,544,201,75,470,0
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",485,398,147,57,341,0
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",530,434,161,62,373,0
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",574,471,174,66,405,0
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",664,544,201,75,470,0
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",498,408,151,59,349,0
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",539,442,163,63,379,0
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",581,476,176,67,410,0
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",664,544,201,75,470,0
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",752,617,228,90,526,0
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",730,599,221,87,511,0
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",708,581,215,85,496,0
"Northern Ireland",2019,0.67,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",664,544,201,79,465,0
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",805,660,244,97,563,0
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",769,631,233,93,538,0
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",734,602,223,88,514,0
"Northern Ireland",2019,0.67,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",664,544,201,79,465,0
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",485,398,147,61,337,0
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",530,434,161,66,369,0
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",574,471,174,70,401,0
"Northern Ireland",2019,0.33,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",664,544,201,79,465,0
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",498,408,151,63,346,0
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",539,442,163,67,375,0
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",581,476,176,71,405,0
"Northern Ireland",2019,0.33,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",664,544,201,79,465,0
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"basic",455,373,138,50,324,31
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"basic",507,416,154,55,362,34
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"basic",560,459,170,59,400,38
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"basic",664,544,201,69,476,46
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"basic",468,384,142,51,333,31
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"basic",517,424,157,56,368,35
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"basic",566,464,172,60,404,39
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"basic",664,544,201,69,476,46
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"basic",413,338,125,46,293,28
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"basic",476,390,144,51,339,32
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"basic",538,441,163,57,384,37
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"basic",664,544,201,69,476,46
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"basic",419,344,127,46,297,28
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"basic",480,394,146,52,342,32
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"basic",542,444,164,58,387,37
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"basic",664,544,201,69,476,46
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"age",455,373,138,47,326,31
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"age",507,416,154,52,365,35
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"age",560,459,170,56,403,39
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"age",664,544,201,65,479,47
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"age",468,384,142,48,335,32
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"age",517,424,157,53,371,36
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"age",566,464,172,57,407,40
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"age",664,544,201,65,479,47
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"age",413,338,125,43,295,28
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"age",476,390,144,49,341,33
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"age",538,441,163,54,387,38
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"age",664,544,201,65,479,47
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"age",419,344,127,44,300,29
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"age",480,394,146,49,345,33
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"age",542,444,164,54,390,38
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"age",664,544,201,65,479,47
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"none",455,373,138,51,322,30
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"none",507,416,154,56,360,34
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"none",560,459,170,61,398,38
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"none",664,544,201,70,474,45
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"none",468,384,142,53,331,31
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"none",517,424,157,57,367,34
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"none",566,464,172,62,403,38
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"none",664,544,201,70,474,45
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"none",413,338,125,47,292,27
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"none",476,390,144,53,337,32
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"none",538,441,163,59,383,36
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"none",664,544,201,70,474,45
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"none",419,344,127,48,296,27
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"none",480,394,146,53,341,32
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"none",542,444,164,59,385,36
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"none",664,544,201,70,474,45
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"basic",455,373,138,56,317,0
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",507,416,154,61,355,0
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",560,459,170,67,392,0
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",664,544,201,78,467,0
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0,0,"NBTSS",10,1,0.82,"basic",468,384,142,58,326,0
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",517,424,157,63,361,0
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",566,464,172,68,396,0
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",664,544,201,78,467,0
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"basic",413,338,125,51,287,0
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",476,390,144,58,332,0
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",538,441,163,65,377,0
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",664,544,201,78,467,0
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0,0,"NBTSS",10,1,0.82,"basic",419,344,127,52,292,0
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",480,394,146,59,335,0
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",542,444,164,65,379,0
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",664,544,201,78,467,0
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",455,373,138,54,319,0
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",507,416,154,59,357,0
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",560,459,170,64,395,0
"Northern Ireland",2019,0.33,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",664,544,201,75,470,0
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",468,384,142,56,328,0
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",517,424,157,60,364,0
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",566,464,172,65,399,0
"Northern Ireland",2019,0.33,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",664,544,201,75,470,0
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",413,338,125,49,289,0
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",476,390,144,56,334,0
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",538,441,163,62,379,0
"Northern Ireland",2019,0.2,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",664,544,201,75,470,0
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",419,344,127,50,294,0
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",480,394,146,56,338,0
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",542,444,164,63,382,0
"Northern Ireland",2019,0.2,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",664,544,201,75,470,0
