"sex","transfusion_age","transfusion_year","transfusion_age_midpoint","survival_5","survival_10","survival_15","survival_20"
"female","0",1999,0,0.994248258235413,0.993854596218884,0.993433267541196,0.992344936555956
"female","0",2004,0,0.994592418389817,0.99432887752666,0.993696634503883,NA
"female","0",2009,0,0.995948123187181,0.995700155983246,NA,NA
"female","0",2014,0,0.996247942500018,NA,NA,NA
"female","1 - 9",1999,5,0.999308197791135,0.998641832740984,0.99734726257422,0.995906922354229
"female","1 - 9",2004,5,0.999469114094346,0.99904540523207,0.997950926009659,NA
"female","1 - 9",2009,5,0.999659046407776,0.999023414202444,NA,NA
"female","1 - 9",2014,5,0.999717032441071,NA,NA,NA
"female","10 - 19",1999,15,0.998007642184834,0.996262347292739,0.993948176174889,0.990282926747035
"female","10 - 19",2004,15,0.99808352476822,0.996382951836391,0.994217697593778,NA
"female","10 - 19",2009,15,0.998497936243331,0.997055934253535,NA,NA
"female","10 - 19",2014,15,0.998728667807552,NA,NA,NA
"female","20 - 29",1999,25,0.997190288528878,0.993792463920725,0.988614643243824,0.980382205997981
"female","20 - 29",2004,25,0.997437672831224,0.993989261683119,0.987825715500923,NA
"female","20 - 29",2009,25,0.99733893431105,0.993661181239026,NA,NA
"female","20 - 29",2014,25,0.997465672165016,NA,NA,NA
"female","30 - 39",1999,35,0.99440497824893,0.986655877989375,0.975364122672157,0.958333274325053
"female","30 - 39",2004,35,0.993741313559857,0.986080370478553,0.974898795095856,NA
"female","30 - 39",2009,35,0.993848765862751,0.985572742790731,NA,NA
"female","30 - 39",2014,35,0.992838178516103,NA,NA,NA
"female","40 - 49",1999,45,0.984390047596669,0.965509920777026,0.93997379837743,0.901020377776032
"female","40 - 49",2004,45,0.985096071458516,0.967255158386419,0.941398637004922,NA
"female","40 - 49",2009,45,0.986796887970709,0.969566411928202,NA,NA
"female","40 - 49",2014,45,0.986839471353672,NA,NA,NA
"female","50 - 59",1999,55,0.960856515250097,0.91468600163508,0.852588767139863,0.762311554733732
"female","50 - 59",2004,55,0.964756219624898,0.924059695070908,0.86524669939127,NA
"female","50 - 59",2009,55,0.969490988669571,0.929314347239671,NA,NA
"female","50 - 59",2014,55,0.969029565584715,NA,NA,NA
"female","60 - 69",1999,65,0.904289477226757,0.795211435415476,0.649306989357287,0.460667387578458
"female","60 - 69",2004,65,0.911515526996645,0.810577401222866,0.668339578444087,NA
"female","60 - 69",2009,65,0.921825029121705,0.824216666024826,NA,NA
"female","60 - 69",2014,65,0.927251389490305,NA,NA,NA
"female","70 - 79",1999,75,0.747721363198015,0.502813746893522,0.262497780488877,0.0841202597324154
"female","70 - 79",2004,75,0.768317677114659,0.531012348669466,0.277791365844861,NA
"female","70 - 79",2009,75,0.791838573155095,0.56179005132885,NA,NA
"female","70 - 79",2014,75,0.802141989088135,NA,NA,NA
"female","80+",1999,90,0.246926518249046,0.0354317755544965,NA,NA
"female","80+",2004,90,0.254209271109029,0.0401307217687162,NA,NA
"female","80+",2009,90,0.272144875274635,0.0435856500997982,NA,NA
"female","80+",2014,90,0.271557876504597,NA,NA,NA
"male","0",1999,0,0.992783681919806,0.992307233817486,0.991686203405884,0.989451935425516
"male","0",2004,0,0.99326570469059,0.992658965421155,0.991905761157028,NA
"male","0",2009,0,0.99476473199205,0.994361913593526,NA,NA
"male","0",2014,0,0.995751673915006,NA,NA,NA
"male","1 - 9",1999,5,0.999116318226231,0.998373193927767,0.995723306089302,0.992016720011387
"male","1 - 9",2004,5,0.999392150133772,0.998766685663496,0.996516465363999,NA
"male","1 - 9",2009,5,0.999305198378167,0.998546951122258,NA,NA
"male","1 - 9",2014,5,0.999518092820892,NA,NA,NA
"male","10 - 19",1999,15,0.995261218148124,0.989639727332969,0.984084525084088,0.976627128895319
"male","10 - 19",2004,15,0.995653672709849,0.992037711849189,0.986942153178336,NA
"male","10 - 19",2009,15,0.99719020833965,0.993478161709164,NA,NA
"male","10 - 19",2014,15,0.997613302946451,NA,NA,NA
"male","20 - 29",1999,25,0.991110106009524,0.982312637263583,0.972427213170069,0.957476291822276
"male","20 - 29",2004,25,0.992629648951571,0.984973356360476,0.974632243975875,NA
"male","20 - 29",2009,25,0.993271934404407,0.98574491599366,NA,NA
"male","20 - 29",2014,25,0.994140277585438,NA,NA,NA
"male","30 - 39",1999,35,0.987746840681858,0.973714259742082,0.956489462609082,0.931909468945914
"male","30 - 39",2004,35,0.98748367854146,0.974223302565759,0.954711503931561,NA
"male","30 - 39",2009,35,0.988020063336462,0.97282940427538,NA,NA
"male","30 - 39",2014,35,0.987765539785703,NA,NA,NA
"male","40 - 49",1999,45,0.975305711299999,0.944939730497782,0.905817893285831,0.851512235737339
"male","40 - 49",2004,45,0.976797116075308,0.95126051723238,0.914127319400858,NA
"male","40 - 49",2009,45,0.979294521383974,0.954128480281615,NA,NA
"male","40 - 49",2014,45,0.977149625032688,NA,NA,NA
"male","50 - 59",1999,55,0.935201420116766,0.863213858780115,0.7778042663537,0.661797687643519
"male","50 - 59",2004,55,0.946028227445098,0.886347333887318,0.80450322381927,NA
"male","50 - 59",2009,55,0.951521256605488,0.894475587829962,NA,NA
"male","50 - 59",2014,55,0.955032186242063,NA,NA,NA
"male","60 - 69",1999,65,0.844001081143029,0.693519171762106,0.524043547793927,0.331590782124686
"male","60 - 69",2004,65,0.865170076766656,0.72861498823534,0.557567541002254,NA
"male","60 - 69",2009,65,0.885271573715979,0.753236650614301,NA,NA
"male","60 - 69",2014,65,0.8936606805347,NA,NA,NA
"male","70 - 79",1999,75,0.643565037018587,0.376458813217011,0.166111783362236,0.0451317543774477
"male","70 - 79",2004,75,0.681563204338257,0.417674658544807,0.18793816126752,NA
"male","70 - 79",2009,75,0.723160104241873,0.457582629490225,NA,NA
"male","70 - 79",2014,75,0.734992207387753,NA,NA,NA
"male","80+",1999,90,0.202984657514002,0.0198878732627162,NA,NA
"male","80+",2004,90,0.198209955192555,0.0269115582449822,NA,NA
"male","80+",2009,90,0.224539819970417,0.0285375685742701,NA,NA
"male","80+",2014,90,0.223369491739679,NA,NA,NA
